^C^C(safe_env3) limyeeun@limyeeun-MS-7D42:~/src/safety-gymnasium-main/DDPG-HER-master$ mpirun -np 1 python3 -u main.py 
Creating offscreen glfw
Epoch:32| Running_reward:-1755.126| EP_reward:-1783.971| Memory_length:3300| Duration:267.839| Actor_Loss:14.184| Critic_Loss:0.037| Success rate:0.000| 6.0/31.1 GB RAM
Epoch:33| Running_reward:-1458.997| EP_reward:-2155.091| Memory_length:3400| Duration:268.694| Actor_Loss:15.711| Critic_Loss:0.073| Success rate:0.000| 6.1/31.1 GB RAM
Epoch:34| Running_reward:-1803.936| EP_reward:-2179.698| Memory_length:3500| Duration:269.692| Actor_Loss:15.271| Critic_Loss:0.084| Success rate:0.000| 6.3/31.1 GB RAM
Epoch:35| Running_reward:-1765.288| EP_reward:-1381.131| Memory_length:3600| Duration:272.044| Actor_Loss:15.796| Critic_Loss:0.039| Success rate:0.000| 6.3/31.1 GB RAM
Epoch:36| Running_reward:-1887.079| EP_reward:-2160.850| Memory_length:3700| Duration:273.145| Actor_Loss:16.313| Critic_Loss:0.107| Success rate:0.000| 6.4/31.1 GB RAM
Epoch:37| Running_reward:-1858.259| EP_reward:-1788.711| Memory_length:3800| Duration:273.386| Actor_Loss:16.295| Critic_Loss:0.052| Success rate:0.000| 6.5/31.1 GB RAM
Epoch:38| Running_reward:-1923.878| EP_reward:-1822.103| Memory_length:3900| Duration:274.076| Actor_Loss:15.933| Critic_Loss:0.061| Success rate:0.000| 6.5/31.1 GB RAM
Epoch:39| Running_reward:-2113.527| EP_reward:-2216.962| Memory_length:4000| Duration:274.626| Actor_Loss:14.722| Critic_Loss:0.083| Success rate:0.000| 6.6/31.1 GB RAM
Epoch:40| Running_reward:-1915.567| EP_reward:-1772.251| Memory_length:4100| Duration:275.483| Actor_Loss:17.097| Critic_Loss:0.053| Success rate:0.000| 6.7/31.1 GB RAM
Epoch:41| Running_reward:-2089.528| EP_reward:-1711.646| Memory_length:4200| Duration:276.091| Actor_Loss:16.036| Critic_Loss:0.050| Success rate:0.000| 6.8/31.1 GB RAM
